"id";"secid";"open";"close";"high";"low";"value";"volume";"dt";"dt_end"
18075;"IMOEX";2959.29;3033.89;3037.29;2959.29;72542573400.3;0.0;2023-12-15 00:00:00.000;2023-12-15 23:59:59.000
18076;"IMOEX";3052.14;3076.26;3090.04;3048.82;61960968092;0.0;2023-12-18 00:00:00.000;2023-12-18 23:59:59.000
18077;"IMOEX";3084.12;3083.64;3091.26;3066.34;50806028979.9;0.0;2023-12-19 00:00:00.000;2023-12-19 23:59:59.000
18078;"IMOEX";3091.35;3104.66;3113.92;3088.74;53334930887.35;0.0;2023-12-20 00:00:00.000;2023-12-20 23:59:59.000
18079;"IMOEX";3093.46;3073.57;3095.01;3050.0;58423925406.6;0.0;2023-12-21 00:00:00.000;2023-12-21 23:59:59.000
18080;"IMOEX";3076.31;3092.58;3102.75;3075.56;59800876920.32;0.0;2023-12-22 00:00:00.000;2023-12-22 23:59:59.000
18081;"IMOEX";3095.42;3099.02;3108.14;3086.89;65851286285.35;0.0;2023-12-25 00:00:00.000;2023-12-25 23:59:59.000
18082;"IMOEX";3090.39;3094.72;3098.69;3080.92;46286441430.6;0.0;2023-12-26 00:00:00.000;2023-12-26 23:59:59.000
18083;"IMOEX";3100.99;3097.49;3112.19;3097.31;50134780900.32;0.0;2023-12-27 00:00:00.000;2023-12-27 23:59:59.000
18084;"IMOEX";3099.56;3101.99;3101.99;3081.98;50308124032.2;0.0;2023-12-28 00:00:00.000;2023-12-28 23:59:59.000
18085;"IMOEX";3092.66;3099.11;3102.08;3086.26;33360963641.32;0.0;2023-12-29 00:00:00.000;2023-12-29 23:59:59.000
18086;"IMOEX";3099.78;3130.23;3132.76;3099.1;25999773751.67;0.0;2024-01-03 00:00:00.000;2024-01-03 23:59:59.000
18087;"IMOEX";3140.66;3136.07;3144.25;3133.93;22880636623.45;0.0;2024-01-04 00:00:00.000;2024-01-04 23:59:59.000
18088;"IMOEX";3138.27;3136.37;3142.8;3128.16;20822444164.74;0.0;2024-01-05 00:00:00.000;2024-01-05 23:59:59.000
18089;"IMOEX";3140.12;3158.58;3158.82;3139.37;35541931860.41;0.0;2024-01-08 00:00:00.000;2024-01-08 23:59:59.000
18090;"IMOEX";3156.17;3155.55;3158.72;3143.03;49269572379.41;0.0;2024-01-09 00:00:00.000;2024-01-09 23:59:59.000
18091;"IMOEX";3158.35;3164.7;3174.28;3156.44;42849987789.07;0.0;2024-01-10 00:00:00.000;2024-01-10 23:59:59.000
18092;"IMOEX";3158.3;3181.25;3181.25;3148.5;75731238106.29;0.0;2024-01-11 00:00:00.000;2024-01-11 23:59:59.000
18093;"IMOEX";3182.5;3185.22;3196.98;3176.09;54148316321.9;0.0;2024-01-12 00:00:00.000;2024-01-12 23:59:59.000
18094;"IMOEX";3190.62;3184.88;3200.78;3176.73;50735907185.46;0.0;2024-01-15 00:00:00.000;2024-01-15 23:59:59.000
18095;"IMOEX";3186.77;3179.45;3187.14;3162.98;50278982619.43;0.0;2024-01-16 00:00:00.000;2024-01-16 23:59:59.000
18096;"IMOEX";3174.87;3185.23;3189.26;3169.99;47074341522.51;0.0;2024-01-17 00:00:00.000;2024-01-17 23:59:59.000
18097;"IMOEX";3188.71;3178.85;3193.54;3176.72;43119055602.56;0.0;2024-01-18 00:00:00.000;2024-01-18 23:59:59.000
18098;"IMOEX";3176.13;3166.37;3179.21;3154.46;45854909733.92;0.0;2024-01-19 00:00:00.000;2024-01-19 23:59:59.000
18099;"IMOEX";3161.44;3172.15;3179.11;3157.37;42130512576.53;0.0;2024-01-22 00:00:00.000;2024-01-22 23:59:59.000
18100;"IMOEX";3176.19;3175.74;3179.75;3166.66;45044845848.28;0.0;2024-01-23 00:00:00.000;2024-01-23 23:59:59.000
18101;"IMOEX";3176.59;3162.41;3183.7;3152.96;46503277369.16;0.0;2024-01-24 00:00:00.000;2024-01-24 23:59:59.000
18102;"IMOEX";3163.36;3157.74;3166.95;3143.89;45461201946.99;0.0;2024-01-25 00:00:00.000;2024-01-25 23:59:59.000
18103;"IMOEX";3164.55;3163.21;3171.95;3157.76;45979583256.1;0.0;2024-01-26 00:00:00.000;2024-01-26 23:59:59.000
18104;"IMOEX";3169.57;3176.61;3184.15;3169.57;46667512330.43;0.0;2024-01-29 00:00:00.000;2024-01-29 23:59:59.000
18105;"IMOEX";3181.75;3196.08;3196.15;3178.82;71884614820.82;0.0;2024-01-30 00:00:00.000;2024-01-30 23:59:59.000
18106;"IMOEX";3201.48;3214.19;3219.41;3198.83;62393378068.08;0.0;2024-01-31 00:00:00.000;2024-01-31 23:59:59.000
18107;"IMOEX";3220.43;3229.89;3233.21;3220.38;56072080314.88;0.0;2024-02-01 00:00:00.000;2024-02-01 23:59:59.000
18108;"IMOEX";3229.48;3226.35;3232.35;3215.0;58221436623.55;0.0;2024-02-02 00:00:00.000;2024-02-02 23:59:59.000
18109;"IMOEX";3218.91;3226.79;3232.38;3218.91;79772720557.48;0.0;2024-02-05 00:00:00.000;2024-02-05 23:59:59.000
18110;"IMOEX";3234.44;3238.4;3238.4;3228.78;47381481665.38;0.0;2024-02-06 00:00:00.000;2024-02-06 23:59:59.000
18111;"IMOEX";3240.57;3256.58;3259.24;3240.16;71996364667.13;0.0;2024-02-07 00:00:00.000;2024-02-07 23:59:59.000
18112;"IMOEX";3261.18;3241.81;3266.45;3236.79;93017428633.36;0.0;2024-02-08 00:00:00.000;2024-02-08 23:59:59.000
18113;"IMOEX";3231.3;3242.38;3242.38;3219.56;49774764900.27;0.0;2024-02-09 00:00:00.000;2024-02-09 23:59:59.000
18114;"IMOEX";3241.57;3248.5;3248.5;3227.7;53148275940.8;0.0;2024-02-12 00:00:00.000;2024-02-12 23:59:59.000
18115;"IMOEX";3250.3;3254.6;3259.69;3245.02;61252409706.73;0.0;2024-02-13 00:00:00.000;2024-02-13 23:59:59.000
18116;"IMOEX";3261.52;3258.14;3267.88;3251.76;61011261936.57;0.0;2024-02-14 00:00:00.000;2024-02-14 23:59:59.000
18117;"IMOEX";3249.78;3265.63;3265.83;3238.83;59605264673.06;0.0;2024-02-15 00:00:00.000;2024-02-15 23:59:59.000
18118;"IMOEX";3269.84;3242.48;3275.23;3236.42;75952339426.53;0.0;2024-02-16 00:00:00.000;2024-02-16 23:59:59.000
18119;"IMOEX";3247.46;3244.56;3253.02;3234.1;53050781619.74;0.0;2024-02-19 00:00:00.000;2024-02-19 23:59:59.000
18120;"IMOEX";3236.85;3207.49;3237.34;3206.07;64739998498.75;0.0;2024-02-20 00:00:00.000;2024-02-20 23:59:59.000
18121;"IMOEX";3173.01;3139.5;3185.8;3135.8;105014105685.64;0.0;2024-02-21 00:00:00.000;2024-02-21 23:59:59.000
18122;"IMOEX";3152.75;3142.3;3166.86;3141.88;66954855491.29;0.0;2024-02-22 00:00:00.000;2024-02-22 23:59:59.000
18123;"IMOEX";3186.06;3213.17;3213.17;3186.06;69530002768.27;0.0;2024-02-26 00:00:00.000;2024-02-26 23:59:59.000
18124;"IMOEX";3220.26;3208.99;3224.52;3203.58;55160994984.57;0.0;2024-02-27 00:00:00.000;2024-02-27 23:59:59.000
18125;"IMOEX";3215.53;3227.05;3240.29;3213.36;61902884647.06;0.0;2024-02-28 00:00:00.000;2024-02-28 23:59:59.000
18126;"IMOEX";3233.03;3256.8;3258.14;3224.09;50717302607.49;0.0;2024-02-29 00:00:00.000;2024-02-29 23:59:59.000
18127;"IMOEX";3259.0;3266.66;3269.28;3249.69;59649504551;0.0;2024-03-01 00:00:00.000;2024-03-01 23:59:59.000
18128;"IMOEX";3278.01;3296.75;3298.63;3277.85;86678820262.54;0.0;2024-03-04 00:00:00.000;2024-03-04 23:59:59.000
18129;"IMOEX";3305.79;3300.89;3312.41;3283.59;66185929581.91;0.0;2024-03-05 00:00:00.000;2024-03-05 23:59:59.000
18130;"IMOEX";3298.86;3310.58;3318.14;3289.25;49425403549.9;0.0;2024-03-06 00:00:00.000;2024-03-06 23:59:59.000
18131;"IMOEX";3309.31;3315.68;3317.73;3303.93;42342887170.98;0.0;2024-03-07 00:00:00.000;2024-03-07 23:59:59.000
18132;"IMOEX";3329.72;3320.31;3340.37;3318.9;63702584994.11;0.0;2024-03-11 00:00:00.000;2024-03-11 23:59:59.000
18133;"IMOEX";3320.18;3332.6;3335.41;3304.49;54192454895.39;0.0;2024-03-12 00:00:00.000;2024-03-12 23:59:59.000
18134;"IMOEX";3337.56;3320.68;3343.56;3317.19;60223172466.69;0.0;2024-03-13 00:00:00.000;2024-03-13 23:59:59.000
18135;"IMOEX";3314.66;3297.0;3318.49;3287.86;69642224630.18;0.0;2024-03-14 00:00:00.000;2024-03-14 23:59:59.000
